date,aircraft_type,registration,operator,fatalities,location,category,narrative,aircraft_damage,phase,nature,departure_airport,destination_airport,other_fatalities,msn,fatalities_breakdown,aircraft_type_detailed,operator_detailed,location_detailed,country,class,class_name,confidence_score
8-Feb-24,Airbus A321-231 (WL),N956JT,Jetblue Airways,0,"Boston-Logan International Airport (BOS/KBOS), Boston, MA",sub,"JetBlue flight B6777, an Airbus A321-271NX (N2157J) and JetBlue flight B6551, an Airbus A321 (N956JT), were involved in a ground contact incident at Boston Logan International Airport during taxi.While taxiing within the Amelia Earhart de-icing pad area, the left winglet of JetBlue Airways flight 777 collided with the right horizontal stabilizer and elevator of JetBlue Airways flight 551. There were no injuries to the 210 passengers and crew on flight 551 or the 154 passengers and crew on flight 777.The flight crew of flight 551 stated that, following a normal preflight and uneventful taxi from the gate to the de-icing pad, they were guided by a 'follow me' vehicle. The flight crew proceeded to follow the vehicle to the D2 parking spot. A yellow painted 'T' inside a black square marked the proper stopping point location for the airplane's nose tires when parked. Nearing the stopping point, the 'follow me' vehicle turned to the right and stopped with its headlights facing toward the back of the airplane. The driver of the 'follow me' vehicle communicated with the flight crew via radio and began a 'countdown' for when the captain should stop the airplane.Upon the verbal stop command, the captain stopped the airplane and set the parking brake. After the de-ice procedure was complete, the flight crew received instructions to taxi the airplane to runway 9 for departure. Immediately after releasing the airplane's parking brake, the flight crew felt jolts and vibrations and the airplane swayed back and forth. The captain set the parking brake and the first officer (FO) contacted air traffic control (ATC) and was informed they had been struck by another aircraft.In a post-accident statement, the driver of the 'follow me' vehicle indicated that he stopped the airplane (flight 551) at what he thought was the normal stopping point.  He had difficulty seeing the yellow 'T' -bar due to the dark night conditions and the de-icing fluid that was present on the ground. A post-accident inspection found that the airplane was about 35 ft short of the normal stopping point.The flight crew of flight 777 indicated that after a normal preflight and uneventful taxi from the gate to the de-icing pad they were guided to the D1 spot by a 'follow me' vehicle. The captain stated spacing appeared to be tight and he focused on the yellow taxi line to ensure proper clearance from other airplanes in the area. Shortly thereafter, while taxiing, the flight crew heard a grinding noise and felt a vibration. While still moving forward, they heard another aircraft on the radio frequency ask if something had struck their airplane.The flight crew of flight 777 stopped their airplane and set the parking brake. The captain had difficulty seeing the left winglet due to the dark night conditions but noted that it was intact. In addition, he was unable to see the empennage of flight 551 parked at the D2 location as it was behind them.Flight 551 (N956JT) sustained substantial damage to the left horizontal stabilizer and the left elevator.As a result of this event, Aeromag investigated and produced a February 12, 2024, memo to their BOS-JBU [JetBlue] operations staff discussing an amendment to the Coordinator of Traffic and Movement (CTM) phraseology and aircraft stopping procedures. The memo outlined the updated procedures and phraseology as:â¢	âFollow meâ truck is now required to verbally confirm with the flight crew that the aircraft is correctly stopped on the deicing âTâ-Bar.â¢	JetBlue will add to the Airport Briefing Guide (ABG) that the pilot will not configure the aircraft until confirmation that the aircraft is correctly stopped on the deicing âTâ-Bar.â¢	The âfollow meâ truck is required to check the rear of the aircraft to ensure that it is within the bay and clear of the zipper line before confirming brake set.â¢	Safety Lead will perform a secondary check, reconfirming with the CTM that the aircraft has stopped on the deicing âTâ-Bar. Safety Lead will also verify that the rear of the aircraft is clear of the zipper line and within the bay.â¢	Truck positioning and aircraft deicing will commence after these checks have been completed.Additionally, once CTM has confirmed with the flight crew that they have a visual on the âfollow meâ truck, the âfollow meâ truck operator will follow these steps:1. Guide the aircraft into the assigned bay.2. Ensure the aircraft is properly stopped on the deicing âTâ-Bar.3. Confirm that the rear of the aircraft is within the bay, clear of the zipper line, before bringing any other aircraft in.Finally, the Safety Lead will:1. Inspect and confirm with CTM that the aircraft is properly stopped on the deicing âTâ-Bar.2. Inspect that the rear of the aircraft is well within the bay and clear of the zipper line.Aeromag also increased its daily roster to include sufficient qualified staff to allocate a Safety Lead dedicated to each operational bay regardless of operating conditions. Long term prevention strategies identified were:â¢	Repainting and reviewing the color format of the delineated markings using high-visibility paint and/or reflective inset markers.â¢	Investigating the feasibility of adding high mast lighting for the Earhart facility.â¢	Operational audits to focus on the correct positioning of aircraft while maintaining the safety buffer zones.â¢	Explore opportunities to locate Aeromag tower personnel in elevated positions.Probable Cause: The 'follow me' driver stopping the airplane (flight 551) about 35 feet from the normal stopping point due to a difficulty in seeing the yellow 'T'-bar because of the dark night conditions and the presence of de-icing fluid on the ground.","Substantial, repaired",Standing,Passenger - Scheduled,"Boston-Logan International Airport, MA (BOS/KBOS)","Orlando International Airport, FL (MCO/KMCO)",0,6791,Fatalities: 0 / Occupants: 210,Airbus A321-231 (WL),Jetblue Airways,"Boston-Logan International Airport (BOS/KBOS), Boston, MA -United States of America",,GCOL,Ground Collision,0.99
25-Jan-24,Cessna 208 Caravan I,VH-ZWH,Sydney Seaplanes,0,"Sydney Harbour, near Rose Bay Water Airport (RSE/YRAY), NSW",sub,"The float-equipped Cessna 208 Caravan I was taking off from the waters of Sydney Harbour, Rose Bay, New South Wales when the left float collided with the water, resulting in substantial damage to the aircraft.One of the nine occupants suffered minor injuries.",Substantial,Take off,Passenger - Non-Scheduled/charter/Air Taxi,YRAY,,0,20800399,Fatalities: 0 / Occupants: 9,Cessna 208 Caravan I,Sydney Seaplanes,"Sydney Harbour, near Rose Bay Water Airport (RSE/YRAY), NSW -Australia",,GCOL,Ground Collision,0.99
20-Jan-24,Dassault Falcon 10,RA-09011,Athletic Group LLC,2,"Topkana area, Kuran wa Munjan District, Badakkhshan province",w/o,"A Falcon 10 air ambulance has crash-landed on a snowy mountain slope in Badakhshan province, Afghanistan. Four of the six occupants were found alive.The aircraft departed U-Tapao Airport (UTP), Thailand on January 20 at 06:20 UTC, bound for Moscow's Zhukovsky Airport, Russia. A refuelling stop was made at Gaya Airport in India before it continued to Tashkent Airport, Uzbekistan, for another refueling stop. The flight took off from Gaya about 10:40 UTC.At 14:05 UTC, the flight crew radioed that they were low on fuel. Then, at 14:19 UTC, the flight reported that one engine had flamed out. Ten minutes later the second engine had flamed out.The crew had the intention of diverting to Kulob Airport (TJU) in Tajikistan, but eventually they were forced to carry out an emergency landing on a  snowy mountain slope. The aircraft broke up.","Destroyed, written off",En route,Ambulance,Gaya Airport (GAY/VEGY),Tashkent-Islam Karimov International Airport (TAS/UTTT),0,128,Fatalities: 2 / Occupants: 6,Dassault Falcon 10,Athletic Group LLC,"Topkana area, Kuran wa Munjan District, Badakkhshan province -Afghanistan",,LOC-I,Loss of control - inflight,0.99
11-Jan-24,Learjet 55,N558RA,Royal Air Freight,0,"Mission Field Airport (LVM/KLVM), Livingston, MT",sub,"The pilot in command of the airplane reported that, while on an instrument GPS approach, they listened to the automated surface observing system several times and determined that they would be landing with a âlight quartering tailwindâ on an upsloping runway. Once clear of clouds and with the runway in sight, the pilot canceled the instrument flight rules clearance, announced their position over the airportâs common traffic advisory frequency and received a reply with a report of 1/4 inch of dry snow covering the runway, unplowed. During the landing roll, they applied brakes, extended spoilers, and thrust reversers. Initially the airplane slowed; however, about halfway down the runway, the airplaneâs antiskid system was functioning continuously, and the airplaneâs rate of deceleration decreased. The pilot was unsure if the thrust reversers deployed, and he cycled the thrust reversers and did not feel any effects. The pilot stated that, in his experience, the airplaneâs thrust reversers do not feel very effective. The pilot considered aborting the landing, started to clean up the airplane but thought it was too late. The airplane overran the departure end of the runway, onto a grass covered area and into a deep ravine, resulting in substantial damage to the fuselage and both wings.The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation.The automated weather observation station located on the airport reported that, about 44 minutes before the accident, the wind was from 090Â° at 12 knots. The same automated station reported that, about 16 minutes after the accident, the wind was from 090Â° at 12 knots. The airplane landed on runway 22.The fixed based operator owner reported that, on the day of the accident, his review of the runway conditions at the airport appeared to be around an inch of snow on the runway surface.Additionally, plowing at the airport so far this year had been âabysmal.â Big windrows and ice chunks have been left; taxiway corners had been built up to the point there could be an occurrence should an airplane be taxiing by. Earlier this year, several departures were delayed due to the runway not being plowed.According to the chairman of the airport board, there is no formal process to conduct runway assessments. However, an airport board member lives in the area and routinely visits the airport to conduct runway assessments. The runway assessments and frequency of the observations are not documented but are conveyed verbally to the airport board via cell phone. To the best of his knowledge, there is no formal snow or ice removal plan. When the runway is required to be cleared, a board member will use county provided equipment to clear the runway. The frequency of the snow removal is not documented. The airport snow removal equipment is limited to clear substance to Â½ inch of the runway surface. On the day of the accident, he was not aware of a Notice to Air Misson (NOTAM) issued for the conditions of the runway environment.According to the airplane manufacturer, the estimated landing distance on a dry runway was about 3,350 ft, with loose snow and no tailwind the estimated landing distance was about 6,700 ft, and on loose snow with tailwind, the estimated landing distance was 7,531 ft.According to the Federal Aviation Administration, the airport is not required to have a snow and ice control plan. However, the airport was provided federal funds (grant) to purchase/acquire a snowplow to maintain the airport surfaces during inclement weather conditions. There may be times where issues arise, and action is delayed. In that case it is expected that a NOTAM be issued as outlined in the grant agreement.Probable Cause: The flight crewâs decision to land on a snow-covered runway with a tailwind, resulting in a runway excursion and subsequent impact with terrain. Contributing to the accident, was the failure of the airport authority to plow the runway.","Substantial, written off",Landing,Ferry/positioning,"Pontiac-Oakland County International Airport, MI (PTK/KPTK)","Livingston-Mission Field, MT (LVM/KLVM)",0,55-086,Fatalities: 0 / Occupants: 2,Learjet 55,Royal Air Freight,"Mission Field Airport (LVM/KLVM), Livingston, MT -United States of America",,RE,Runway excursion,0.99
5-Jan-24,Boeing 737 MAX 9,N704AL,Alaska Airlines,0,"Portland, OR",sub,"On January 5, 2024, a Boeing 737-9 airplane operated by Alaska Airlines as flight 1282 experienced an in-flight separation of the left mid exit door (MED) plug and rapid depressurization when climbing through about 14,830 ft after takeoff from Portland International Airport (PDX), Portland, Oregon. One flight attendant and 7 passengers received minor injuries; the captain, the first officer, 3 flight attendants, and 164 passengers were uninjured; and the airplane sustained substantial damage. The flight and cabin crews executed the emergency procedures in response to the rapid depressurization, and the flight returned to PDX for a safe landing.The airplane had a hole in the fuselage where the left MED plug (a rectangular airframe structure about 29 inches wide and 59 inches high) had been installed. Components on the fuselage frame that surrounded the hole, including fittings and assemblies associated with the left MED plug installation, were damaged. The passenger seats and cabin interior located nearest the hole were also damaged, and a seatback tray table, two seat headrests, and cabin interior panels were missing. The airplaneâs left MED plug and some of the seat and interior pieces were located on the ground (along the airplaneâs flight path) and recovered. Multiple components associated with the left MED plug installation, including four bolts that would secure the left MED plug from moving upward vertically, were not located.It was found that the four bolts that secured the left MED plug to prevent it from moving upward vertically were missing before the newly manufactured airplane was delivered to Alaska Airlines. As a result, the left MED plug was able to become displaced gradually upward (by fractions of an inch) during previous flights until, during the accident flight, it displaced upward enough to disengage from its stop fittings and separate in flight. The upward displacement before the accident flight would not have been detectable during a routine preflight inspection, and there was no evidence this upward displacement was associated with previous pressurization system AUTO FAIL light illumination events.When the airplane was manufactured, Boeing personnel had opened the left MED plug (which inherently required removing the four bolts and associated hardware) to allow access for rivet rework to be performed on the edge frame forward of the left MED plug. However, opening an MED plug was a nonroutine task, and no personnel experienced with opening or closing an MED plug were on duty at the times that the accident airplaneâs left MED plug was opened and closed, and none said they had any knowledge of who opened it.Per Boeingâs Business Process Instruction (BPI) for performing parts removals, opening an MED plug, because it was a disturbance of a previously accepted installation, required the generation of a removal record. The purpose of a removal record was to document that parts were removed from the airplane and to specify the tasks and quality assurance signoffs required to ensure that the installation was subsequently restored to an accepted condition. However, no removal record was generated. The left MED plug was subsequently closed without its securing bolts and attachment hardware, and no quality assurance inspection of the plug closure was performed.In addition, Boeingâs short stamp process, which was intended to document the work that needed to be deferred or âtraveledâ to allow for the rivet rework, was not correctly applied for the accident airplane. Although the short stamp process does not negate the need to generate a required removal record for disturbed installations, had the short stamp process been correctly applied, it may have provided an opportunity for personnel to detect the left MED plugâs missing bolts and attachment hardware.Boeingâs BPI for performing parts removals lacked the clarity, conciseness, and ease of use necessary to be an effective tool for workers in the manufacturing process. The BPI had a documented history of compliance issues for at least 10 years before the accident. However, Boeingâs corrective actions to address the issues, which were accepted by the Federal Aviation Administration (FAA), were ineffective to address the persistent deficiencies with the BPI.Boeingâs on-the-job training for generating removal records was insufficient, which decreased the likelihood that personnel with limited exposure to nonroutine tasks could correctly open an MED plug and generate the required removal record.The Federal Aviation Administrationâs (FAA) compliance and enforcement surveillance, audit planning procedures, and records systems were deficient and lacked the functionality necessary to identify repetitive and systemic discrepancies and nonconformance issues with the BPI for parts removals. Also, Boeingâs quality escape guidance did not adequately address controls for human error, and its voluntary safety management system, which was still being developed at the time the accident airplane was in production, did not proactively identify the risk of the quality escape that occurred. We determined that, for Boeingâs future implementation of its regulatory safety management system (SMS) and integration into its quality management system to be successful, accurate and ongoing data about its safety culture is needed.The circumstances of this accident and others in which the flight crew faced communications challenges associated with oxygen mask use highlighted the need for hands-on, aircraft-specific training and procedures for the use of each type of oxygen system in an operatorâs fleet. We also identified the need for the FAA to review the design standards for portable oxygen bottles to ensure that they adequately address ease of use.Further, the circumstances of this accident emphasized the need for effective operator procedures for preserving cockpit voice recorder (CVR) data after an accident or incident occurs, as well as the continued need for installations and retrofits of CVRs with a 25-hour recording capability. It continues to be necessary to address these issues because valuable information continues to be overwritten on CVRs that are designed to record only 2 hours of audio data. Finally, although the three lap-held children on board the accident airplane did not sustain any injuries, the potential for severe injury or death existed and reinforced the prudence of using a child restraint system (CRS) for children less than 2 years old appropriate to their size and weight.Probable Cause: The National Transportation Safety Board determines that the probable cause of this accident was the in-flight separation of the left mid exit door (MED) plug due to Boeing Commercial Airplane's failure to provide adequate training, guidance, and oversight necessary to ensure that manufacturing personnel could consistently and correctly comply with its parts removal process, which was intended to document and ensure that the securing bolts and hardware that were removed from the left MED plug to facilitate rework during the manufacturing process were reinstalled. Contributing to the accident was the Federal Aviation Administrationâs ineffective compliance enforcement surveillance and audit planning activities, which failed to adequately identify and ensure that Boeing addressed the repetitive and systemic nonconformance issues associated with its parts removal process.",Substantial,En route,Passenger - Scheduled,"Portland International Airport, OR (PDX/KPDX)","Ontario International Airport, CA (ONT/KONT)",0,67501/8789,Fatalities: 0 / Occupants: 177,Boeing 737 MAX 9,Alaska Airlines,"Portland, OR -United States of America",,LOC-I,Loss of control - inflight,0.99
2-Jan-24,Airbus A350-941,JA13XJ,Japan Airlines (JAL),0+5,Tokyo International Airport/Haneda (HND/RJTT),w/o,"Japan Airlines flight JL516, an Airbus A350-941 (JA13XJ), collided with a Japan Coast Guard DHC-8-315Q MPA aircraft (JA722A) on the runway at Tokyo-Haneda Airport.The DHC-8, which was on its way to transport supplies to Niigata in response to the Noto Peninsula earthquake which happened the day before, had taxied onto runway 34R via taxiway C5 as JL516 was on final approach.After touching down, the A350 struck the DHC-8. The nose section of the A350 suffered severe damage.  The Airbus slid over the runway for about 1700 meters, until it veered to the right, coming to stop next to the runway just before the intersection with C11, and a fire erupted in both aircraft.All occupants of the A350 evacuated safely via L1, R1 and L4 doors.  One passenger suffered injury of crack(s) in rib(s), another one a bruise, the third people a sprain.  12 others also sent to hospital due to feeling unwell.  Another passenger's bone bruise on shin bone was reported a month later.The captain of the DHC-8 Japan Coast Guard aircraft also survived with severe burn injuries. The remaining crew of five were killed in the accident.Communications released by Ministry of Land, Infrastructure, Transport and Tourism indicate that JL516 had been cleared to land on runway 34R. JA722A had been instructed to hold short on taxiway C5. This instruction was read back correctly, however, the survived captain of DHC-8 asserted just after the accident that he had been cleared for takeoff, which is contrary to the ATC record.Additionally, it appears the stop bar lights for taxiway C5 (and other taxiways) was unserviceable, as per Notam published on December 25: ""STOP-BAR-LGT FOR C1 THRU C14-U/S"".","Destroyed, written off",Landing,Passenger - Scheduled,Sapporo-New Chitose Airport (CTS/RJCC),Tokyo-Haneda Airport (HND/RJTT),5,538,Fatalities: 0 / Occupants: 379,Airbus A350-941,Japan Airlines (JAL),Tokyo International Airport/Haneda (HND/RJTT) -Japan,,GCOL,Ground Collision,0.99
27-Jan-20,McDonnell Douglas MD-83,EP-CPZ,Caspian Airlines,0,Bandar Mahshahr Airport (MRX),w/o,"A McDonnell Douglas MD-83 of Caspian Airlines suffered a runway excursion after landing on runway 13 at Bandar Mahshahr Airport in Iran. The aircraft stopped 90 meters beyond the paved end of the runway stopway in the middle of a road. All occupants safely evacuated the aircraft.The aircraft took off from Tehran-Mehrabad Airport at 06:24 hours local time and climbed to the cruising altitude of FL320. The flight was subsequently cleared direct to GODMO. After contacting the controller at Mahshahr the crew was informed: ""runway active is 31; wind is now 280/08kts, CAVOK, temperature +06, DP 04 and QNH 1023, expected VOR approach runway 31 via GODMO 1E Arrival"".The flight responded by requesting runway 13 for landing. ATC then cleared the flight for a VOR/DME approach to runway 13 using the GODMO 1F Arrival procedure.At 07:30:41 local time, the pilot reported over position GODMO at FL100. ATC replied: ""CPN 6936 yes sir; descend as profile to MNM 2000 feet for VOR/DME APP RWY 13, report when leaving IAF and cleared approach.""At 07:32:46, the pilot reported leaving the Initial Approach Fix (IAF) MNM. At that time the aircraft was flying at an altitude at 6647 ft instead of 2000 ft as required.The controller cleared the flight to land. As the aircraft passed 2500 ft, the autopilot was disengaged. Then the captain decided to control altitude and speed by executing an S-turn maneuver several times and continued in visual reference with the ground.At 07:35:29, at altitude 934 ft, the captain asked the copilot to set speed and the copilot called out the target airspeed of 135 knots when the actual speed (IAS) at the time was 196 kt.Upon receiving EGPWS Sink Rate warnings, the copilot warned the pilot to read the landing checklist, but the captain did not accept this and accomplished an unstabilized high-speed approach for the purpose of landing.The copilot claimed in his statement after the accident that: ""I wanted to take control of the aircraft and follow missed approach procedure but due to pilot over-confidence to overcome present situation and age gap, I disregarded it."" The captain was a 64-year old pilot with over 18000 flying hours, compared to the 28-year old copilot who had 300 hours.From 1000 ft until 10 ft altitude, sink rate and pull up warnings sounded in the cockpit successively.Finally, at 07:36:11, the aircraft landed with high speed (171 kt) after passing two-thirds of the runway. It touched down nosegear-first and bounced. Full auto thrust reversers and brakes were applied. The aircraft overran the runway, rolled through a non-paved area and airport perimeter fence, passed a shallow canal then onto an adjacent roadway, where it struck a concrete median strip and a lamp post before coming to a stop.Runway 13 has a Landing Distance Available (LDA) of 8874 feet (2705 m).Probable Causes:The Aircraft Accident Investigation Board determines that the probable causes of this accident were the pilotsÂ failures below, resulting in a runway overrun:- Poor decision-making for acceptance of the risk of high-speed landing;- Un-stabilized approach against the normal flight profile;- Poor CRM in the cockpit; and- Poor judgment and not accomplishing go-around while performing an unstabilized approach.Contributing Factors:- Loading of 5 tons of extra fuel, which increased the landing distance required.- Decision to make a landing on RWY 13 with tailwind.- Inability of the copilot (PM) to take control of the aircraft and proper action to execute go-around.","Destroyed, written off",Landing,Passenger - Scheduled,Tehran-Mehrabad Airport (THR/OIII),Bandar Mahshahr Airport (MRX/OIAM),0,53464/2091,Fatalities: 0 / Occupants: 144,McDonnell Douglas MD-83,Caspian Airlines,Bandar Mahshahr Airport (MRX) -Iran,,LOC-I,Loss of control - inflight,0.98
14-Feb-20,Cessna 208 Caravan I,P2-MAI,Mission Aviation Fellowship - MAF,0,Miyanmin Airstrip (MPX),sub,"A Cessna 208 Caravan aircraft, registered P2-MAI, owned and operated by Mission Aviation Fellowship (MAF) PNG Limited, experienced a loss of control during the landing roll at Miyanmin Airstrip, while conducting a non-scheduled flight, from Telefomin, PNG.There were 11 persons on board the aircraft; 2 pilots and 9 passengers. The pilot flying the aircraft was undergoing route and airstrip training. He was occupying the left seat and was Pilot Under Instruction (PUI). The pilot in the right seat was the instructor pilot for MAF conducting route and airstrip training for the new pilot.The pilot crossed overhead of the airstrip for an inspection of the surface and wind conditions. The crew did not observe any standing water or any wet areas on the strip. They also reported that the windsock indicated calm winds and the strip was clear.The aircraft joined mid-downwind less than half a nautical mile from the airstrip and tracked North West, descending from 1200 ft to 1000 ft before turning onto base. The aircraft began descending as it turned to line up on the final approach profile. There was a tailwind component of 5-12 kt on base and final. The aircraft overshot the turn onto final approach, 1.8 nm from the threshold at 900 ft. The pilot established the aircraft on the approach profile 1 nm from the threshold and at about 500 ft.The instructor stated that during final approach, the aircraft had descended below the normal approach profile causing him to instruct the pilot to adjust power and aim point to get back onto the correct profile.The pilot commenced the flare just under 20 ft AGL, 78 kt (85 kt ground speed).The aircraft touched down with an airspeed of 77 kt (82 kt ground speed) 36 m past the runway 11 threshold. The pilot stated that a few seconds after touchdown, he applied reverse thrust and the aircraft veered left. According to tyre track approximations, the aircraft appeared to have deviated about 220 m up-strip from threshold. The pilot stated that he applied full right rudder in an attempt to turn the aircraft back towards the center of the strip. The aircraft turned back to the right and rolled parallel to the centerline for another 100 m before it swerved left again, diverging at a 30Â° angle from the centerline. It rolled for 60 m as it bogged into the soft ground. The propeller blades subsequently struck the ground and the aircraft turned sharply left causing it to tip onto its starboard side.The crew reported that there were no injuries sustained during the accident and subsequent evacuation.Causes [Contributing factors]Onlanding,the PUI applied reverse thrust and the aircraft veered left of the centerline. Rudder was applied to get the aircraft back onto centerline, however, the rudder was not effective to counter the effect of reverse thrust as the left wheel entered in a softened area of the strip surface, which resulted in the aircraft being unable to regain the centerline as the landing roll progressed.The PUI did not effectively manage the effect of torque to maintain centerline during the landing roll.The PUIÂs limited experience level on the aircraft type, low proficiency level in the use of reverse thrust during landing rolls, soft strip surface and soil condition were contributing factors of the accident.","Substantial, repaired",Landing,Passenger - Non-Scheduled/charter/Air Taxi,Telefomin Airstrip (TFM/AYTE),Miyanmin Airstrip (MPX/AYIY),0,20800613,Fatalities: 0 / Occupants: 11,Cessna 208 Caravan I,Mission Aviation Fellowship - MAF,Miyanmin Airstrip (MPX) -Papua New Guinea,,LOC-I,Loss of control - inflight,0.98
17-Jan-21,Boeing 777-31HER,A6-EPN,Emirates,0,Nicosia FIR,non,"Emirates  flight EK957, a Boeing 777-300ER aircraft, departed Dubai International Airport (OMDB), the United Arab Emirates for a scheduled passenger flight number EK957, to Beirut International Airport (OLBA), Lebanon. There were 64 people onboard: 2 flight crewmembers, 12 cabin crewmembers, and 50 passengers.After entering Nicosia flight information region (LCCC FIR), Cyprus, during descent, the aircraft encountered moderate to severe air turbulence that lasted for approximately three minutes. The turbulence caused injuries to seven occupants.The en route significant weather chart (SIGWX) contained in the operational flight plan (OFP) forecasted occasional isolated embedded cumulonimbus (CB) clouds affecting Nicosia FIR and Beirut FIR (OLBB). The OFP did not contain any significant meteorological information (SIGMET).During the preflight briefing, the commander alerted the cabin crew about the possibility of in-flight turbulence during the descent to OLBA. On 17 January 2021, Larnaca International Airport (LCLK) meteorological watch office (MWO) issued several SIGMET of thunderstorms and severe turbulence affecting areas within LCCC FIR. The flight crew were not aware of the SIGMET issued by LCLK when the aircraft entered LCCC FIR.With the aircraft at the top of descent (at FL360 within LCCC FIR), the commander, who was the pilot flying (PF), instructed the cabin crew to secure the cabin as he anticipated turbulence during descent and switched the seatbelt sign to ON. About three minutes into descent, at approximately 0804 UTC with the aircraft passing pressure altitude 29,200 ft, the aircraft started to encounter turbulence. The Copilot immediately made a passenger announcement for cabin crew to take their seats. Soon after, the aircraft encountered moderate to severe air turbulence. The flight crew believed the turbulence was âclear air turbulenceâ because there was no weather radar returns of precipitation displayed on the navigation display.During the turbulence, the aircraft autopilot and autothrottle remained engaged and the aircraft remained inside its flight envelope. The turbulence-generated acceleration forces caused several unsecured cabin crewmembers and passengers to be forcefully lifted off their feet and impact cabin furnishings resulting in a serious injury to one passenger. There was no reported damage to the aircraft cabin.The flight continued to the destination where the aircraft landed uneventfully.CausesThe Air Accident Investigation Sector determines that the cause of the Accident was the significant vertical g-forces imposed on the Aircraft because of severe clear air turbulence, which caused an unsecured passenger to be forcefully lifted off her feet and impact cabin furnishings resulting in her right foot fracture serious injury.Contributory Factors(a) The influence of the jet stream and thunderstorm in the flight path area was significant enough to produce severe turbulence.(b) The flight crew decision making lacked critical information contained in SIGMET 3 issued by LCLK MWO (covering the period from 0530 to 0930) which forecasted severe turbulence between FL260 and FL390, south of latitude N3430.(c) The format of the SIGMET issued by LCLK MWO was different from the recommendations contained in ICAO Annex 3 and EU regulation No. 2020/469 such that the Weather Services International Fusion application (WSI Fusion) applied by the Operatorâs flight dispatch department did not generate a timely alert for SIGMET 3 report issued by LCLK MWO.",,En route,Passenger - Scheduled,Dubai Airport (DXB/OMDB),Beirut-Rafic Hariri International Airport (BEY/OLBA),0,42333/1408,Fatalities: 0 / Occupants: 64,Boeing 777-31HER,Emirates,Nicosia FIR -Cyprus,,LOC-I,Loss of control - inflight,0.98
16-Aug-21,Cessna 208B Grand Caravan,N97HA,Wright Air Service,0,"near Fairbanks, AK",sub,"Wright Air Service flight 440, a Cessna 208B, was substantially damaged when it was involved in an inflight upset near Fairbanks, Alaska. The pilot and eight passengers were not injured.According to the accident pilot, flight 440 departed about 14:24 from the Fairbanks International Airport (FAI), destined for Huslia, Alaska (HLA), located about 220 miles east-northeast of FAI. After departure, she climbed the airplane to her assigned altitude of 10,000 ft mean sea level (MSL), where she encountered what she described as Âlight rimeÂ icing conditions. In an effort to exit the icing conditions, she asked and was assigned a block altitude from 10,000 - 12,000 ft msl, and subsequently climbed the airplane to 10,500 ft msl. Unable to exit the icing conditions, she elected to begin a gradual descent back to 10,000 ft msl. She added that instrument meteorological conditions prevailed, and that the autopilot was engaged. The pilot also noted that while en route, the airplaneÂs deicing boots, and heated propeller were operating normally by removing ice accumulations.She said that while in a gradual descent from 10,500 ft. msl to 10,000 ft. msl, the autopilot suddenly disengaged, without warning, and the airplane entered an abrupt uncommand right bank followed by a steep nose down, spiraling descent. The pilot said that it felt as if the aileron controls were jammed as she tried to regain control of the airplane. After regaining control of the airplane, she declared an inflight emergency and subsequently made an emergency landing at FAI.A review of preliminary flight track data revealed that after departing FAI, the flight proceeded to the west, northwest for about 47 nm, cruising at about 10,000 ft msl. Prior to the upset, a climb was initiated and the flight reached an altitude of about 10,700 ft msl before descending to about 10,300 ft msl followed by abrupt changes to altitude and ground speed.A postflight inspection of the airplane revealed substantial damage to the right aileron. Flight control continuity was established continuously from each control surface to the corresponding cockpit controls.Although the airplane was equipped for flight into known icing conditions, the pilotÂs operating handbook (POH) contained information that flight in freezing rain, freezing drizzle, mixed conditions, or conditions defined as severe were prohibited. In addition, the minimum speed for flight in icing conditions with the flaps up was 130 knots indicated airspeed with a maximumweight of 8,550 lbs. The POH further required that the autopilot be disconnected once every 10 minutes in icing conditions to check for any out-of-trim conditions caused by ice buildup.Data obtained from the autopilot revealed that it was not disconnected every 10 minutes through the course of the flight as required. The indicated air speed was consistently below 130 knots, and it was below 100 knots in the seconds preceding the upset. Furthermore, the low airspeed alert activated at 107 kts about 16 minutes, 5 minutes and 2 1/2 minutes before the upset, respectively. Additionally, the estimated gross weight of the airplane at the time of the accident was about 293.5 lbs over its maximum approved gross weight and 805.5 lbs over its approved maximum gross weight for flight in known icing conditions.Probable cause: The pilotÂs unexpected encounter with supercooled liquid droplets (SLD), which resulted in a loss of control due to ice accumulation. Contributing to the accident were: (1) the pilotÂs failure to maintain the minimum airspeed for flight in icing conditions, (2) the pilotÂs failure to disconnect the autopilot every 10 minutes to check for ice buildup, (3) the overweight airplane, (4) the lack of an SLD forecast product for the state of Alaska, and (5) the Federal Aviation Administration's failure to require weight and balance documentation for each flight in Title 14 Code of Federal Regulations Part 135 single-engine operations.","Substantial, repaired",En route,Passenger - Scheduled,"Fairbanks International Airport, AK (FAI/PAFA)","Huslia Airport, AK (HSL/PAHL)",0,208B0610,Fatalities: 0 / Occupants: 9,Cessna 208B Grand Caravan,Wright Air Service,"near Fairbanks, AK -United States of America",,LOC-I,Loss of control - inflight,0.98
